"organization_type_choice","country","current_position_choice","years_research_exp","years_program_exp","gender","research_area","program_freq","peer_review","program_lang_choice","code_publishing","code_reuse_inner","code_reuse_outer","devel_practices","devel_practices_freq_version","devel_practices_freq_review","devel_practices_freq_ci","devel_practices_freq_unit","devel_practices_freq_regression","devel_practices_freq_system","code_reviewer_choice","genai_tool_exp_choice","genai_tool_freq","genai_primary_tool_choice","genai_access_mode_choice","genai_lines_accepted","space_s1","space_p1","space_p2","space_a1","space_c1","space_c2","space_e1","space_e2","space_global"
"Higher education","United States of America","Research staff",5,1,"Woman","Life sciences","Less than once a month","Yes","Python","About half the time","About half the time","Never","Code testing",NA,NA,NA,"Sometimes","About half the time","About half the time",NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",8,4,"Woman","Humanities","Monthly","Yes","Python,R,JavaScript","Sometimes","About half the time","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini,Claude Code,Perplexity","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",10,12,"Man","Education","Daily","Yes","Python,R,C++,Stata,JavaScript,Java","Always","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Sometimes","Never","Never","Someone else (please write in)","ChatGPT,GitHub Copilot,Claude,Perplexity,Microsoft Copilot","Always","Claude","Through a web browser,With a mobile app,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Post-doctoral researcher",11,11,"Woman","Life sciences","Monthly","Yes","Python,R","Always","Always","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Most of the time","Never","Sometimes","A peer in your research group","A custom tool provided by organization","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",10,40,"Man","Computer and information services","Monthly","Yes","Python,R,JavaScript","About half the time","Most of the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Sometimes","Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT,Microsoft Copilot","Most of the time",NA,"Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","I don't use genAI to produce code suggestions directly","Strongly agree","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Research staff",2,9,"Man","Life sciences","Daily","Yes","Python,R,Stata,Bash","Most of the time","Most of the time","Sometimes","Version control,Code testing","Always",NA,NA,"Sometimes","Never","Never",NA,"ChatGPT,A custom tool provided by organization,Google Gemini,Claude","Always","A custom tool provided by organization","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,2,"Woman","Geosciences, atmospheric sciences & ocean sciences","Weekly","Yes","Python,MATLAB","Always","Always","Never","Version control,Code testing,Code review,Continuous integration","Always","Always","Most of the time","Always","Always","Always","A peer in your research group","ChatGPT","Most of the time","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",6,7,"Woman","Life sciences","Weekly","Yes","Python,MATLAB","Always","Always","Never","Code testing",NA,NA,NA,"Never","Never","Never",NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Strongly disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",13,13,"Man","Physical sciences","Daily","Yes","Python,C++,Bash","Sometimes","About half the time","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Sometimes","Most of the time",NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Post-doctoral researcher",7,12,"Woman","Computer and information services","Daily","Yes","Python,R,Bash","Always","Never","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Never","Sometimes","Sometimes","Never","Sometimes",NA,"ChatGPT,GitHub Copilot,Claude,Microsoft Copilot","Always","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","50-100 lines","Strongly agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",25,35,"Man","Computer and information services","Daily","Yes","Python,C,C++,Rust,JavaScript,Bash,Other","Always","Most of the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","About half the time","Sometimes","Most of the time","Most of the time","Most of the time",NA,"ChatGPT,A custom tool provided by organization,Google Gemini","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",4,5,"Man","Social sciences","Weekly","Yes","Python,R,Stata","Sometimes","Sometimes","Never","Version control,Code testing,Code review","Sometimes","Sometimes",NA,"Never","Never","Never","A peer in your research group","ChatGPT,A custom tool provided by organization","About half the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,1,"Man","Engineering","Daily","Yes","Python,C++","Most of the time","Most of the time","About half the time","Version control,Code testing","Sometimes",NA,NA,"Most of the time","Never","Always",NA,"ChatGPT,A custom tool provided by organization,GitHub Copilot","Always","ChatGPT","Through a web browser,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,7,"Woman","Other","Daily","Yes","Python,C++,MATLAB,Java,Bash","Sometimes","Always","Sometimes","Code testing,Code review,Continuous integration",NA,"Most of the time","Most of the time","Never","Never","Most of the time","Someone else (please write in)","ChatGPT","Sometimes",NA,"Through a web browser","5-10 lines","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",3,20,"Man","Engineering","Weekly","Yes","Python,C,Bash,Other","About half the time","Sometimes","Sometimes","Version control,Continuous integration","Sometimes",NA,"Never",NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Claude,Claude Code","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","5-10 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"National laboratory","United States of America","Student research assistant",2,7,"Woman","Physical sciences","Weekly","Yes","Python,MATLAB","Sometimes","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Sometimes","Sometimes","Sometimes","Most of the time","Never","Never","A peer in your research group","ChatGPT","Most of the time","ChatGPT","Through a web browser",">100 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree",NA,"Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",9,6,"Woman","Life sciences","Daily","Yes","Python,Bash","Most of the time","Sometimes","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly disagree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Strongly disagree","Somewhat agree","Somewhat disagree","Somewhat disagree"
"Higher education","United States of America","Research staff",5,4,"Woman","Other","Weekly","Yes","R,Other","Always","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",5,3,"Woman","Life sciences","Weekly","Yes","R,MATLAB","Never","About half the time","Never","Version control,Code testing,Code review","Most of the time","Most of the time",NA,NA,NA,NA,"A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly disagree","Strongly agree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",0.25,2,"Man","Engineering","Daily","I'm not sure","Python,MATLAB","Sometimes","Always","About half the time","Code review",NA,"Most of the time",NA,NA,NA,NA,"A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree",NA,"Somewhat agree","Strongly agree","Somewhat disagree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Research software engineer",5,10,"Woman","Engineering","Daily","Yes","Python,MATLAB","Sometimes","Sometimes","Sometimes","Version control","Always",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",2,3,"Man","Life sciences","Daily","Yes","Python,MATLAB","Most of the time","Most of the time","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Sometimes","About half the time","Never","A peer in your research group","ChatGPT,A custom tool provided by organization,Perplexity","Sometimes","Perplexity","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",4,2,"Man","Other","Daily","Yes","Python","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review","Always","Most of the time",NA,"Sometimes","Never","Never","A peer in your research group","GitHub Copilot,Claude","Most of the time","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",1,4,"Man","Engineering","Daily","Yes","Python,C,C++","About half the time","Most of the time","Never","Version control,Code testing,Code review","Always","Sometimes",NA,"Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",20,NA,"Prefer not to say","Computer and information services","Less than once a month","Yes","Python","Always","Never","Never","Version control,Code testing,Code review","Never","Never",NA,"Never","Never","Never",NA,"Claude","Always","Claude","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",20,10,"Man","Life sciences","Weekly","Yes","R","Never","About half the time","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",4,8,"Woman","Mathematics and statistics","Daily","Yes","R","Always","Sometimes","Sometimes","Version control","About half the time",NA,NA,NA,NA,NA,"A collaborator outside the research group","ChatGPT,GitHub Copilot","Most of the time","GitHub Copilot","Through a web browser","I don't use genAI to produce code suggestions directly","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",20,15,"Woman","Psychology","Weekly","Yes","R,MATLAB,Bash,Other","Sometimes","Most of the time","Sometimes","Version control,Code testing,Code review","Always","Always",NA,"Most of the time","About half the time","Sometimes","A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat agree","Somewhat disagree"
"Higher education","United States of America","Other (self-describe)",4,3,"Woman","Social sciences","Less than once a month","Yes","R,Other","Most of the time","Most of the time","Never","Version control,Code testing,Code review","Always","Always",NA,"Most of the time","Always","Always","A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",4,1,"Woman","Psychology","Monthly","Yes","R","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","About half the time","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",4,6,"Woman","Mathematics and statistics","Daily","Yes","Other","Sometimes","About half the time","Never","Version control","Most of the time",NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Other (self-describe)",8,14,"Man","Life sciences","Daily","Yes","Python,R,C,C++,Bash","Always","Most of the time","Most of the time","Version control,Code testing,Code review,Continuous integration","About half the time","Sometimes","Never","Most of the time","Most of the time","Most of the time","A peer in your research group","ChatGPT,A custom tool provided by organization,GitHub Copilot,Google Gemini,Microsoft Copilot,Other (please write in)","Always","Other (please write in)","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","10-50 lines","Strongly agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Student research assistant",7,NA,"Man","Engineering","Less than once a month","Yes","Python,C++,MATLAB","Most of the time","Always","Most of the time","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",13,14,"Man","Physical sciences","Weekly","Yes","Python,MATLAB","Never","Sometimes","Sometimes","Version control,Code testing","Always",NA,NA,"Most of the time","Never","Never",NA,"Google Gemini","Sometimes","Google Gemini","Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Strongly disagree","Neither agree nor disagree","Somewhat disagree","Somewhat agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Neither agree nor disagree"
"Higher education","United States of America","Faculty",13,10,"Woman","Life sciences","Weekly","Yes","Python,R,Bash","Most of the time","About half the time","Always","Code testing,Code review",NA,"Most of the time",NA,"Never","Sometimes","Sometimes","A peer in your research group","ChatGPT,GitHub Copilot,Claude","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","Benin","Student research assistant",7,NA,"Man","Geosciences, atmospheric sciences & ocean sciences","Daily","Yes","R,MATLAB","Always","Always","Always","Version control,Code testing,Code review,Continuous integration","Always","Always","Always","Always","Always","Always","A collaborator outside the research group","ChatGPT,A custom tool provided by organization,Google Gemini,Microsoft Copilot","Always","Google Gemini","Through a web browser,With a mobile app,As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.),With a desktop app","1-5 lines","Somewhat disagree","Strongly disagree","Strongly disagree","Somewhat disagree","Somewhat disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Higher education","Mexico","Student research assistant",1,3,"Woman","Business management & administration","Weekly","I'm not sure","Python,R,MATLAB,Stata","Never","Sometimes","Never","Code testing,Code review",NA,"Always",NA,"Sometimes","Sometimes","Never","A supervisor","ChatGPT,Google Gemini","Sometimes","ChatGPT","Through a web browser","1-5 lines","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Somewhat disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",10,3,"Woman","Life sciences","Monthly","Yes","Python,R","Always","Most of the time","Sometimes","Version control","Sometimes",NA,NA,NA,NA,NA,NA,"ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",8,6,"Man","Engineering","Daily","Yes","Python,MATLAB","Most of the time","Most of the time","Most of the time","Version control","Always",NA,NA,NA,NA,NA,NA,"ChatGPT,Perplexity","Always","ChatGPT","Through a web browser,With a mobile app",">100 lines","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",14,1,"Man","Life sciences","Less than once a month","Yes","R","Never","Sometimes","Never","Code testing",NA,NA,NA,"Never","Never","Never",NA,"ChatGPT,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Student research assistant",3,5,"Man","Computer and information services","Daily","Yes","Python","Most of the time","Always","About half the time","Version control,Code testing,Code review,Continuous integration","Most of the time","Most of the time","Most of the time","About half the time","About half the time","Most of the time","A peer in your research group","ChatGPT,Cursor,Perplexity","Sometimes","Perplexity","Through a web browser","10-50 lines","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Strongly agree","Somewhat agree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Research staff",10,5,"Woman","Other","Daily","Yes","R,Stata","Never","Sometimes","Never","Version control,Code testing,Code review","Never","Sometimes",NA,"Never","Sometimes","Never","A supervisor","ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",4,7,"Man","Physical sciences","Daily","I'm not sure","R,Bash","Always","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Never","Sometimes","Sometimes","Never","Never",NA,NA,"Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","Ghana","Post-doctoral researcher",10,1,"Man","Humanities","Less than once a month","Yes","R","Never","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"Sometimes",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Student research assistant",1,5,"Man","Social sciences","Weekly","Yes","Python,R","Never","Most of the time","Sometimes","Code review,Continuous integration",NA,"Always","Most of the time",NA,NA,NA,"A collaborator outside the research group","GitHub Copilot","Sometimes","GitHub Copilot","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.)","1-5 lines","Neither agree nor disagree","Strongly agree","Somewhat disagree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Somewhat disagree","Somewhat disagree","Somewhat agree"
"Higher education","United States of America","Faculty",8,13,"Woman","Social sciences","Weekly","Yes","Stata","Never","Sometimes","Sometimes","Version control,Code review",NA,"Sometimes",NA,NA,NA,NA,"A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Faculty",16,25,"Man","Physical sciences","Daily","Yes","Python,MATLAB,FORTRAN,Bash","Never","About half the time","Sometimes","Version control,Code testing,Code review","Sometimes","Always",NA,"Always",NA,NA,"A peer in your research group","ChatGPT","Sometimes","ChatGPT","Through a web browser","I don't use genAI to produce code suggestions directly","Neither agree nor disagree","Somewhat agree","Strongly disagree","Neither agree nor disagree","Neither agree nor disagree","Neither agree nor disagree","Somewhat disagree","Neither agree nor disagree","Neither agree nor disagree"
"Higher education","United States of America","Research staff",9,3,"Woman","Life sciences","Less than once a month","Yes","R","Sometimes","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,Microsoft Copilot","Always","ChatGPT","With a desktop app","<1 line","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree","Strongly disagree"
"Higher education","United States of America","Student research assistant",2,5,"Man","Psychology","Daily","Yes","Python,JavaScript","Most of the time","Sometimes","Never","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Sometimes","Sometimes","Sometimes","Sometimes","A peer in your research group","ChatGPT,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",8,9,"Woman","Physical sciences","Weekly","Yes","Python,MATLAB","Never","Never","Never","Version control,Code testing,Code review","Sometimes","Never",NA,"Most of the time","Never","Never",NA,NA,"Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Private sector","United States of America","Research software engineer",4,8,"Man","Computer and information services","Daily","Yes","Python,C++,MATLAB,Bash","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","About half the time","Most of the time","Sometimes","Always","Sometimes","Always","A peer in your research group","ChatGPT,Other (please write in)","Always","ChatGPT","As a plugin for my programming environment (VS Code, RStudio, PyCharm, etc.),With a desktop app","5-10 lines","Somewhat disagree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Student research assistant",2,1,"Woman","Other","Less than once a month","Yes","R","Always","Sometimes","Never","Version control","Always",NA,NA,NA,NA,NA,NA,"ChatGPT,Google Gemini,Claude,Perplexity","Always","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",14,8,"Woman","Engineering","Weekly","Yes","MATLAB","Never","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot","About half the time","ChatGPT","Through a web browser","1-5 lines","Strongly agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Strongly agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Strongly agree"
"Higher education","United States of America","Student research assistant",1,2,"Man","Engineering","Daily","Yes","Python,C,C++,MATLAB","Never","About half the time","Sometimes","Version control,Code testing,Code review","Most of the time","Sometimes",NA,"Sometimes","About half the time","Sometimes","A supervisor","ChatGPT,Microsoft Copilot","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Strongly agree"
"Other (self-describe)","United States of America","Other (self-describe)",5,7,"Woman","Social sciences","Daily","Yes","Stata","About half the time","Sometimes","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT","Tried but gave up",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Private sector","United States of America","Student research assistant",2,3,"Man","Computer and information services","Weekly","Yes","Python,MATLAB,FORTRAN","Always","Sometimes","About half the time","Code testing,Code review,Continuous integration",NA,"Most of the time","Most of the time","Never","Always","Sometimes","A peer in your research group","ChatGPT,GitHub Copilot,Google Gemini,Claude Code,Microsoft Copilot","Most of the time","ChatGPT","Through a web browser","5-10 lines","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Somewhat agree","Strongly agree","Neither agree nor disagree","Strongly agree"
"Higher education","Switzerland","Student research assistant",4,6,"Man","Physical sciences","Daily","Yes","Python,C++,Bash","Always","Most of the time","Most of the time","Version control,Code testing,Code review","Most of the time","Most of the time",NA,"Never","Never","Never","A collaborator outside the research group","ChatGPT","Most of the time","ChatGPT","With a desktop app","1-5 lines","Somewhat agree","Strongly agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Somewhat agree"
"Higher education","United States of America","Faculty",25,35,"Man","Social sciences","Daily","Yes","R,C++,Bash","Most of the time","About half the time","About half the time","Version control,Code testing,Code review,Continuous integration","Always","Sometimes","About half the time","Always","Never","Never","A peer in your research group","ChatGPT,GitHub Copilot,Google Gemini,Perplexity","About half the time","Perplexity","Through a web browser,With a desktop app","1-5 lines","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Faculty",7,NA,"Man","Life sciences","Monthly","Yes","Stata","Sometimes","Sometimes","Sometimes","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,NA,"I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Higher education","United States of America","Faculty",12,12,"Man","Computer and information services","Weekly","Yes","Python,Other","About half the time","Sometimes","Sometimes","Version control,Code testing,Code review","Most of the time","Always",NA,"Always","Sometimes","Sometimes","A collaborator outside the research group","ChatGPT,A custom tool provided by organization,Google Gemini,Microsoft Copilot","Sometimes","ChatGPT","With a desktop app","10-50 lines","Somewhat agree","Strongly agree","Somewhat agree","Somewhat agree","Strongly agree","Strongly agree","Somewhat agree","Strongly agree","Strongly agree"
"Higher education","United States of America","Research staff",2,2,"Woman","Social sciences","Less than once a month","Yes","Python,R","Sometimes","Sometimes","Sometimes","Version control,Code testing,Code review,Continuous integration","Always","Most of the time","Most of the time","Most of the time","Most of the time","Always","A supervisor","ChatGPT","Sometimes","ChatGPT","Through a web browser","1-5 lines","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Strongly agree","Neither agree nor disagree"
"Higher education","United States of America","Post-doctoral researcher",7,9,"Man","Engineering","Daily","Yes","Python,MATLAB,Bash","Never","Sometimes","Never","Version control","About half the time",NA,NA,NA,NA,NA,"Someone else (please write in)","ChatGPT","Sometimes","ChatGPT","Through a web browser","5-10 lines","Somewhat disagree","Strongly agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree","Somewhat agree"
"Higher education","United States of America","Research staff",20,5,"Man","Life sciences","Less than once a month","Yes","MATLAB","Never","Never","Never","Code review",NA,"Never",NA,NA,NA,NA,NA,"ChatGPT","I've never tried",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
"Other (self-describe)","United States of America","Research staff",8,4,"Man","Other","Less than once a month","Yes","Python,R,MATLAB","Sometimes","Never","Never","I am not familiar with any of these.",NA,NA,NA,NA,NA,NA,NA,"ChatGPT,GitHub Copilot,Google Gemini,Microsoft Copilot","Sometimes","GitHub Copilot","Through a web browser,With a desktop app","1-5 lines","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Neither agree nor disagree","Somewhat agree","Somewhat agree","Neither agree nor disagree","Somewhat agree"
